model_name,model_type,horiz_res_deg,vert_levels,time_step_h,sypd,hardware,hardware_count,accelerators_per_node_assumed,n_accelerators,prognostic_vars,number_param,source,Comments,sypd/(n_accelerators*n_prog*n_lev),T,dx^2 * dt,n_prognostic*n_lev/((dx)^2),n_prognostic*n_lev/(dt*(dx)^2)
CliMA,hybrid,0.5,43,0.01111111111,0.235,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),1,4,4,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.14E-04,3.03E+01,0.002777777778,2064,185760
CliMA,hybrid,0.5,43,0.01111111111,0.637,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),2,4,8,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.54E-04,4.11E+01,0.002777777778,2064,185760
CliMA,hybrid,0.5,43,0.01111111111,1.24,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),4,4,16,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.50E-04,4.00E+01,0.002777777778,2064,185760
CliMA,hybrid,0.5,43,0.01111111111,2.38,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),8,4,32,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.44E-04,3.84E+01,0.002777777778,2064,185760
CliMA,hybrid,0.5,43,0.01111111111,4.39,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),16,4,64,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.33E-04,3.54E+01,0.002777777778,2064,185760
CliMA,hybrid,0.5,43,0.01111111111,7.45,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),32,4,128,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.13E-04,3.00E+01,0.002777777778,2064,185760
CliMA,hybrid,0.5,43,0.01111111111,10.2,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),64,4,256,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,7.72E-05,2.06E+01,0.002777777778,2064,185760
CliMA,hybrid,0.25,43,0.01111111111,0.131,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),4,4,16,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.59E-05,4.22E+00,0.0006944444444,8256,743040
CliMA,hybrid,0.25,43,0.01111111111,0.255,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),8,4,32,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.54E-05,4.11E+00,0.0006944444444,8256,743040
CliMA,hybrid,0.25,43,0.01111111111,0.493,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),16,4,64,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.49E-05,3.97E+00,0.0006944444444,8256,743040
CliMA,hybrid,0.25,43,0.01111111111,0.922,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),32,4,128,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.40E-05,3.72E+00,0.0006944444444,8256,743040
CliMA,hybrid,0.25,43,0.01111111111,1.56,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),64,4,256,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.18E-05,3.14E+00,0.0006944444444,8256,743040
CliMA,hybrid,0.25,43,0.01111111111,2.21,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),128,4,512,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,8.37E-06,2.23E+00,0.0006944444444,8256,743040
CliMA,hybrid,0.25,43,0.01111111111,2.63,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),256,4,1024,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,4.98E-06,1.33E+00,0.0006944444444,8256,743040
CliMA,hybrid,0.125,43,0.01111111111,0.049,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),16,4,64,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.48E-06,3.95E-01,0.0001736111111,33024,2972160
CliMA,hybrid,0.125,43,0.01111111111,0.096,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),32,4,128,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.45E-06,3.87E-01,0.0001736111111,33024,2972160
CliMA,hybrid,0.125,43,0.01111111111,0.184,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),64,4,256,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.39E-06,3.71E-01,0.0001736111111,33024,2972160
CliMA,hybrid,0.125,43,0.01111111111,0.337,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),128,4,512,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.28E-06,3.40E-01,0.0001736111111,33024,2972160
CliMA,hybrid,0.125,43,0.01111111111,0.55,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),256,4,1024,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.04E-06,2.77E-01,0.0001736111111,33024,2972160
CliMA,hybrid,0.07,43,0.01111111111,0.02,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),64,4,256,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.51E-07,4.03E-02,0.00005444444444,105306.1224,9477551.02
CliMA,hybrid,0.07,43,0.01111111111,0.039,Derecho node (four NVIDIA A100 GPUs and 40 GB of memory per GPU),128,4,512,12,0,https://essopenarchive.org/users/891100/articles/1268069-the-climate-modeling-alliance-atmosphere-dynamical-core-concepts-numerics-and-scaling,,1.48E-07,3.93E-02,0.00005444444444,105306.1224,9477551.02
